Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Process: 47, time for step 6: 0.025765
Process: 47, time for step 7: 0.019475
Process: 40, time for step 1: 0.040499
Process: 40, time for step 2: 0.000245
Process: 40, time for step 3: 0.027423
Process: 40, time for step 4: 0.000399
Process: 40, time for step 5: 0.016755
Process: 40, time for step 6: 0.010530
Process: 40, time for step 7: 0.032292
Process: 41, time for step 1: 0.042148
Process: 41, time for step 2: 0.000204
Process: 41, time for step 3: 0.026449
Process: 41, time for step 4: 0.000378
Process: 41, time for step 5: 0.017515
Process: 41, time for step 6: 0.014572
Process: 41, time for step 7: 0.025553
Process: 60, time for step 1: 0.036743
Process: 60, time for step 2: 0.000220
Process: 60, time for step 3: 0.029240
Process: 60, time for step 4: 0.000366
Process: 60, time for step 5: 0.014843
Process: 60, time for step 6: 0.019591
Process: 60, time for step 7: 0.025477
Process: 95, time for step 1: 0.026198
Process: 95, time for step 2: 0.000177
Process: 95, time for step 3: 0.027930
Process: 95, time for step 4: 0.000349
Process: 95, time for step 5: 0.015313
Process: 95, time for step 6: 0.034410
Process: 95, time for step 7: 0.020303
Process: 61, time for step 1: 0.036971
Process: 61, time for step 2: 0.000196
Process: 61, time for step 3: 0.025981
Process: 61, time for step 4: 0.000344
Process: 61, time for step 5: 0.017110
Process: 61, time for step 6: 0.025829
Process: 61, time for step 7: 0.019056
Process: 58, time for step 1: 0.037879
Process: 58, time for step 2: 0.000187
Process: 58, time for step 3: 0.027797
Process: 58, time for step 4: 0.000352
Process: 58, time for step 5: 0.016379
Process: 58, time for step 6: 0.020491
Process: 58, time for step 7: 0.023383
Process: 123, time for step 1: 0.024888
Process: 123, time for step 2: 0.000181
